year,category,laureate,organization,motivation,portion,prize_amount,prize_amount_adjusted,date_awarded
2013,Physiology or Medicine,James E. Rothman,,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",1/3,8000000,10578918,2013-10-07
2013,Physiology or Medicine,Randy W. Schekman,,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",1/3,8000000,10578918,2013-10-07
2013,Physiology or Medicine,Thomas C. Südhof,,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",1/3,8000000,10578918,2013-10-07
2014,Chemistry,Eric Betzig,,for the development of super-resolved fluorescence microscopy,1/3,8000000,10596648,2014-10-08
2014,Chemistry,Stefan W. Hell,,for the development of super-resolved fluorescence microscopy,1/3,8000000,10596648,2014-10-08
2014,Chemistry,William E. Moerner,,for the development of super-resolved fluorescence microscopy,1/3,8000000,10596648,2014-10-08
2014,Economic Sciences,Jean Tirole,,for his analysis of market power and regulation,1,8000000,10596648,2014-10-13
2014,Literature,Patrick Modiano,,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",1,8000000,10596648,2014-10-09
2014,Peace,Kailash Satyarthi,,for their struggle against the suppression of children and young people and for the right of all children to education,1/2,8000000,10596648,2014-10-10
2014,Peace,Malala Yousafzai,,for their struggle against the suppression of children and young people and for the right of all children to education,1/2,8000000,10596648,2014-10-10
2014,Physics,Isamu Akasaki,,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,8000000,10596648,2014-10-07
2014,Physics,Hiroshi Amano,,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,8000000,10596648,2014-10-07
2014,Physics,Shuji Nakamura,,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,1/3,8000000,10596648,2014-10-07
2014,Physiology or Medicine,John O'Keefe,,for their discoveries of cells that constitute a positioning system in the brain,1/2,8000000,10596648,2014-10-06
2014,Physiology or Medicine,May-Britt Moser,,for their discoveries of cells that constitute a positioning system in the brain,1/4,8000000,10596648,2014-10-06
2014,Physiology or Medicine,Edvard I. Moser,,for their discoveries of cells that constitute a positioning system in the brain,1/4,8000000,10596648,2014-10-06
2015,Chemistry,Tomas Lindahl,,for mechanistic studies of DNA repair,1/3,8000000,10602571,2015-10-07
2015,Chemistry,Paul Modrich,,for mechanistic studies of DNA repair,1/3,8000000,10602571,2015-10-07
2015,Chemistry,Aziz Sancar,,for mechanistic studies of DNA repair,1/3,8000000,10602571,2015-10-07
2015,Economic Sciences,Angus Deaton,,"for his analysis of consumption, poverty, and welfare",1,8000000,10602571,2015-10-12
2015,Literature,Svetlana Alexievich,,"for her polyphonic writings, a monument to suffering and courage in our time",1,8000000,10602571,2015-10-08
2015,Peace,,,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,1,8000000,10602571,2015-10-09
2015,Physics,Takaaki Kajita,,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",1/2,8000000,10602571,2015-10-06
2015,Physics,Arthur B. McDonald,,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",1/2,8000000,10602571,2015-10-06
2015,Physiology or Medicine,William C. Campbell,,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,1/4,8000000,10602571,2015-10-05
2015,Physiology or Medicine,Satoshi Ōmura,,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,1/4,8000000,10602571,2015-10-05
2015,Physiology or Medicine,Tu Youyou,,for her discoveries concerning a novel therapy against Malaria,1/2,8000000,10602571,2015-10-05
2016,Chemistry,Jean-Pierre Sauvage,,for the design and synthesis of molecular machines,1/3,8000000,10496956,2016-10-05
2016,Chemistry,Sir J. Fraser Stoddart,,for the design and synthesis of molecular machines,1/3,8000000,10496956,2016-10-05
2016,Chemistry,Bernard L. Feringa,,for the design and synthesis of molecular machines,1/3,8000000,10496956,2016-10-05
2016,Economic Sciences,Oliver Hart,,for their contributions to contract theory,1/2,8000000,10496956,2016-10-10
2016,Economic Sciences,Bengt Holmström,,for their contributions to contract theory,1/2,8000000,10496956,2016-10-10
2016,Literature,Bob Dylan,,for having created new poetic expressions within the great American song tradition,1,8000000,10496956,2016-10-13
2016,Peace,Juan Manuel Santos,,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,1,8000000,10496956,2016-10-07
2016,Physics,David J. Thouless,,for theoretical discoveries of topological phase transitions and topological phases of matter,1/2,8000000,10496956,2016-10-04
2016,Physics,F. Duncan M. Haldane,,for theoretical discoveries of topological phase transitions and topological phases of matter,1/4,8000000,10496956,2016-10-04
2016,Physics,J. Michael Kosterlitz,,for theoretical discoveries of topological phase transitions and topological phases of matter,1/4,8000000,10496956,2016-10-04
2016,Physiology or Medicine,Yoshinori Ohsumi,,for his discoveries of mechanisms for autophagy,1,8000000,10496956,2016-10-03
2017,Chemistry,Jacques Dubochet,,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,1/3,9000000,11603589,2017-10-04
2017,Chemistry,Joachim Frank,,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,1/3,9000000,11603589,2017-10-04
2017,Chemistry,Richard Henderson,,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,1/3,9000000,11603589,2017-10-04
2017,Economic Sciences,Richard H. Thaler,,for his contributions to behavioural economics,1,9000000,11603589,2017-10-09
2017,Literature,Kazuo Ishiguro,,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",1,9000000,11603589,2017-10-05
2017,Peace,,,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,1,9000000,11603589,2017-10-06
2017,Physics,Rainer Weiss,,for decisive contributions to the LIGO detector and the observation of gravitational waves,1/2,9000000,11603589,2017-10-03
2017,Physics,Barry C. Barish,,for decisive contributions to the LIGO detector and the observation of gravitational waves,1/4,9000000,11603589,2017-10-03
2017,Physics,Kip S. Thorne,,for decisive contributions to the LIGO detector and the observation of gravitational waves,1/4,9000000,11603589,2017-10-03
2017,Physiology or Medicine,Jeffrey C. Hall,,for their discoveries of molecular mechanisms controlling the circadian rhythm,1/3,9000000,11603589,2017-10-02
2017,Physiology or Medicine,Michael Rosbash,,for their discoveries of molecular mechanisms controlling the circadian rhythm,1/3,9000000,11603589,2017-10-02
2017,Physiology or Medicine,Michael W. Young,,for their discoveries of molecular mechanisms controlling the circadian rhythm,1/3,9000000,11603589,2017-10-02
2018,Chemistry,Frances H. Arnold,,for the directed evolution of enzymes,1/2,9000000,11380800,2018-10-03
2018,Chemistry,George P. Smith,,for the phage display of peptides and antibodies,1/4,9000000,11380800,2018-10-03
2018,Chemistry,Sir Gregory P. Winter,,for the phage display of peptides and antibodies,1/4,9000000,11380800,2018-10-03
2018,Economic Sciences,William D. Nordhaus,,for integrating climate change into long-run macroeconomic analysis,1/2,9000000,11380800,2018-10-01
2018,Economic Sciences,Paul M. Romer,,for integrating technological innovations into long-run macroeconomic analysis,1/2,9000000,11380800,2018-10-01
2018,Literature,Olga Tokarczuk,,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,1,9000000,11178104,2019-10-10
2018,Peace,Denis Mukwege,,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,1/2,9000000,11380800,2018-10-05
2018,Peace,Nadia Murad,,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,1/2,9000000,11380800,2018-10-05
2018,Physics,Arthur Ashkin,,for the optical tweezers and their application to biological systems,1/2,9000000,11380800,2018-10-02
2018,Physics,Gérard Mourou,,"for their method of generating high-intensity, ultra-short optical pulses",1/4,9000000,11380800,2018-10-02
2018,Physics,Donna Strickland,,"for their method of generating high-intensity, ultra-short optical pulses",1/4,9000000,11380800,2018-10-02
2018,Physiology or Medicine,James P. Allison,,for their discovery of cancer therapy by inhibition of negative immune regulation,1/2,9000000,11380800,2018-10-01
2018,Physiology or Medicine,Tasuku Honjo,,for their discovery of cancer therapy by inhibition of negative immune regulation,1/2,9000000,11380800,2018-10-01
2019,Chemistry,John B. Goodenough,,for the development of lithium-ion batteries,1/3,9000000,11178104,2019-10-09
2019,Chemistry,M. Stanley Whittingham,,for the development of lithium-ion batteries,1/3,9000000,11178104,2019-10-09
2019,Chemistry,Akira Yoshino,,for the development of lithium-ion batteries,1/3,9000000,11178104,2019-10-09
2019,Economic Sciences,Abhijit Banerjee,,for their experimental approach to alleviating global poverty,1/3,9000000,11178104,2019-10-14
2019,Economic Sciences,Esther Duflo,,for their experimental approach to alleviating global poverty,1/3,9000000,11178104,2019-10-14
2019,Economic Sciences,Michael Kremer,,for their experimental approach to alleviating global poverty,1/3,9000000,11178104,2019-10-14
2019,Literature,Peter Handke,,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,1,9000000,11178104,2019-10-10
2019,Peace,Abiy Ahmed Ali,,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",1,9000000,11178104,2019-10-11
2019,Physics,James Peebles,,for theoretical discoveries in physical cosmology,1/2,9000000,11178104,2019-10-08
2019,Physics,Michel Mayor,,for the discovery of an exoplanet orbiting a solar-type star,1/4,9000000,11178104,2019-10-08
2019,Physics,Didier Queloz,,for the discovery of an exoplanet orbiting a solar-type star,1/4,9000000,11178104,2019-10-08
2019,Physiology or Medicine,William G. Kaelin Jr,,for their discoveries of how cells sense and adapt to oxygen availability,1/3,9000000,11178104,2019-10-07
2019,Physiology or Medicine,Sir Peter J. Ratcliffe,,for their discoveries of how cells sense and adapt to oxygen availability,1/3,9000000,11178104,2019-10-07
2019,Physiology or Medicine,Gregg L. Semenza,,for their discoveries of how cells sense and adapt to oxygen availability,1/3,9000000,11178104,2019-10-07
2020,Chemistry,Emmanuelle Charpentier,,for the development of a method for genome editing,1/2,10000000,12361835,2020-10-07
2020,Chemistry,Jennifer A. Doudna,,for the development of a method for genome editing,1/2,10000000,12361835,2020-10-07
2020,Economic Sciences,Paul R. Milgrom,,for improvements to auction theory and inventions of new auction formats,1/2,10000000,12361835,2020-10-12
2020,Economic Sciences,Robert B. Wilson,,for improvements to auction theory and inventions of new auction formats,1/2,10000000,12361835,2020-10-12
2020,Literature,Louise Glück,,for her unmistakable poetic voice that with austere beauty makes individual existence universal,1,10000000,12361835,2020-10-08
2020,Peace,,,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",1,10000000,12361835,2020-10-09
2020,Physics,Roger Penrose,,for the discovery that black hole formation is a robust prediction of the general theory of relativity,1/2,10000000,12361835,2020-10-06
2020,Physics,Reinhard Genzel,,for the discovery of a supermassive compact object at the centre of our galaxy,1/4,10000000,12361835,2020-10-06
2020,Physics,Andrea Ghez,,for the discovery of a supermassive compact object at the centre of our galaxy,1/4,10000000,12361835,2020-10-06
2020,Physiology or Medicine,Harvey J. Alter,,for the discovery of Hepatitis C virus,1/3,10000000,12361835,2020-10-05
2020,Physiology or Medicine,Michael Houghton,,for the discovery of Hepatitis C virus,1/3,10000000,12361835,2020-10-05
2020,Physiology or Medicine,Charles M. Rice,,for the discovery of Hepatitis C virus,1/3,10000000,12361835,2020-10-05
2021,Chemistry,Benjamin List,,for the development of asymmetric organocatalysis,1/2,10000000,12096939,2021-10-06
2021,Chemistry,David W.C. MacMillan,,for the development of asymmetric organocatalysis,1/2,10000000,12096939,2021-10-06
2021,Economic Sciences,David Card,,for his empirical contributions to labour economics,1/2,10000000,12096939,2021-10-11
2021,Economic Sciences,Joshua D. Angrist,,for their methodological contributions to the analysis of causal relationships,1/4,10000000,12096939,2021-10-11
2021,Economic Sciences,Guido W. Imbens,,for their methodological contributions to the analysis of causal relationships,1/4,10000000,12096939,2021-10-11
2021,Literature,Abdulrazak Gurnah,,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,10000000,12096939,2021-10-07
2021,Peace,Maria Ressa,,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",1/2,10000000,12096939,2021-10-08
2021,Peace,Dmitry Muratov,,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",1/2,10000000,12096939,2021-10-08
2021,Physics,Syukuro Manabe,,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",1/4,10000000,12096939,2021-10-05
2021,Physics,Klaus Hasselmann,,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",1/4,10000000,12096939,2021-10-05
2021,Physics,Giorgio Parisi,,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,1/2,10000000,12096939,2021-10-05
2021,Physiology or Medicine,David Julius,,for their discoveries of receptors for temperature and touch,1/2,10000000,12096939,2021-10-04
2021,Physiology or Medicine,Ardem Patapoutian,,for their discoveries of receptors for temperature and touch,1/2,10000000,12096939,2021-10-04
2022,Chemistry,Carolyn Bertozzi,,for the development of click chemistry and bioorthogonal chemistry,1/3,10000000,11162900,2022-10-05
2022,Chemistry,Morten Meldal,,for the development of click chemistry and bioorthogonal chemistry,1/3,10000000,11162900,2022-10-05
2022,Chemistry,K. Barry Sharpless,,for the development of click chemistry and bioorthogonal chemistry,1/3,10000000,11162900,2022-10-05
2022,Economic Sciences,Ben Bernanke,,for research on banks and financial crises,1/3,10000000,11162900,2011-10-10
2022,Economic Sciences,Douglas Diamond,,for research on banks and financial crises,1/3,10000000,11162900,2011-10-10
2022,Economic Sciences,Philip Dybvig,,for research on banks and financial crises,1/3,10000000,11162900,2011-10-10
2022,Literature,Annie Ernaux,,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",1,10000000,11162900,2022-10-06
2022,Peace,Ales Bialiatski,,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",1/3,10000000,11162900,2022-10-07
2022,Peace,,,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",1/3,10000000,11162900,2022-10-07
2022,Peace,,,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",1/3,10000000,11162900,2022-10-07
2022,Physics,Alain Aspect,,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",1/3,10000000,11162900,2022-10-04
2022,Physics,John Clauser,,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",1/3,10000000,11162900,2022-10-04
2022,Physics,Anton Zeilinger,,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",1/3,10000000,11162900,2022-10-04
2022,Physiology or Medicine,Svante Pääbo,,for his discoveries concerning the genomes of extinct hominins and human evolution,1,10000000,11162900,2022-10-03
2023,Chemistry,Moungi Bawendi,,for the discovery and synthesis of quantum dots,1/3,11000000,11314967,2023-10-04
2023,Chemistry,Louis Brus,,for the discovery and synthesis of quantum dots,1/3,11000000,11314967,2023-10-04
2023,Chemistry,Aleksey Yekimov ,,for the discovery and synthesis of quantum dots,1/3,11000000,11314967,2023-10-04
2023,Economic Sciences,Claudia Goldin,,for having advanced our understanding of women’s labour market outcomes,1,11000000,11314967,2023-10-09
2023,Literature,Jon Fosse,,for his innovative plays and prose which give voice to the unsayable,1,11000000,11314967,2023-10-05
2023,Peace,Narges Mohammadi,,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,1,11000000,11314967,2023-10-06
2023,Physics,Pierre Agostini,,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,1/3,11000000,11314967,2023-10-03
2023,Physics,Ferenc Krausz,,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,1/3,11000000,11314967,2023-10-03
2023,Physics,Anne L’Huillier,,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,1/3,11000000,11314967,2023-10-03
2023,Physiology or Medicine,Katalin Karikó,,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,1/2,11000000,11314967,2023-10-02
2023,Physiology or Medicine,Drew Weissman,,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,1/2,11000000,11314967,2023-10-02
2024,Chemistry,David Baker,,for computational protein design,1/2,11000000,11000000,2024-10-09
2024,Chemistry,Demis Hassabis,,for protein structure prediction,1/4,11000000,11000000,2024-10-09
2024,Chemistry,John Jumper,,for protein structure prediction,1/4,11000000,11000000,2024-10-09
2024,Economic Sciences,Daron Acemoglu,,for studies of how institutions are formed and affect prosperity,1/3,11000000,11000000,2024-10-14
2024,Economic Sciences,Simon Johnson,,for studies of how institutions are formed and affect prosperity,1/3,11000000,11000000,2024-10-14
2024,Economic Sciences,James A. Robinson,,for studies of how institutions are formed and affect prosperity,1/3,11000000,11000000,2024-10-14
2024,Literature,Han Kang,,for her intense poetic prose that confronts historical traumas and exposes the fragility of human life,1,11000000,11000000,2024-10-10
2024,Peace,,,for its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again,1,11000000,11000000,2024-10-11
2024,Physics,John J. Hopfield,,for foundational discoveries and inventions that enable machine learning with artificial neural networks,1/2,11000000,11000000,2024-10-08
2024,Physics,Geoffrey Hinton,,for foundational discoveries and inventions that enable machine learning with artificial neural networks,1/2,11000000,11000000,2024-10-08
2024,Physiology or Medicine,Victor Ambros,,for the discovery of microRNA and its role in post-transcriptional gene regulation,1/2,11000000,11000000,2024-10-07
2024,Physiology or Medicine,Gary Ruvkun,,for the discovery of microRNA and its role in post-transcriptional gene regulation,1/2,11000000,11000000,2024-10-07
2025,Chemistry,Susumu Kitagawa,,for the development of metal–organic frameworks,1/3,11000000,11000000,2025-10-08
2025,Chemistry,Richard Robson,,for the development of metal–organic frameworks,1/3,11000000,11000000,2025-10-08
2025,Chemistry,Omar M. Yaghi,,for the development of metal–organic frameworks,1/3,11000000,11000000,2025-10-08
2025,Economic Sciences,Joel Mokyr,,for having identified the prerequisites for sustained growth through technological progress,1/2,11000000,11000000,2025-10-13
2025,Economic Sciences,Philippe Aghion,,for the theory of sustained growth through creative destruction,1/4,11000000,11000000,2025-10-13
2025,Economic Sciences,Peter Howitt,,for the theory of sustained growth through creative destruction,1/4,11000000,11000000,2025-10-13
2025,Literature,László Krasznahorkai,,"for his compelling and visionary oeuvre that, in the midst of apocalyptic terror, reaffirms the power of art",1,11000000,11000000,2025-10-09
2025,Peace,Maria Corina Machado,,for her tireless work promoting democratic rights for the people of Venezuela and for her struggle to achieve a just and peaceful transition from dictatorship to democracy,1,11000000,11000000,2025-10-10
2025,Physics,John Clarke,,for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit,1/3,11000000,11000000,2025-10-07
2025,Physics,Michel H. Devoret,,for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit,1/3,11000000,11000000,2025-10-07
2025,Physics,John M. Martinis,,for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit,1/3,11000000,11000000,2025-10-07
2025,Physiology or Medicine,Mary E. Brunkow,,for their discoveries concerning peripheral immune tolerance,1/3,11000000,11000000,2025-10-06
2025,Physiology or Medicine,Fred Ramsdell,,for their discoveries concerning peripheral immune tolerance,1/3,11000000,11000000,2025-10-06
2025,Physiology or Medicine,Shimon Sakaguchi,,for their discoveries concerning peripheral immune tolerance,1/3,11000000,11000000,2025-10-06
